IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3;;;
JaKarr Sampson;SAC;SF;24;6-9;207;USA;22;15.6;4.7;0.4;3.5;0.36;0.625;0.549;0.5;;;
Jake Layman;POR;SF;23;6-9;210;USA;34;4.7;1;0.3;0.5;0.18;0.667;0.37;0.2;;;
Jakob Poeltl;TOR;C;22;7-0;230;Austria;82;18.6;6.9;0.7;4.8;0.48;0.594;0.66;0.5;;;
Jalen Jones;DAL;SF;24;6-7;220;USA;12;13.5;5.8;0.3;2.9;0.42;0.588;0.421;0.36;;;
Jamal Crawford;MIN;SG;37;6-5;185;USA;80;20.7;10.3;2.3;1.2;0.5;0.903;0.477;0.331;;;
Jamal Murray;DEN;SG;20;6-4;207;Canada;81;31.7;16.7;3.4;3.7;0.98;0.905;0.502;0.378;;;
Jameel Warney;DAL;PF;24;6-8;260;USA;3;8.9;5.7;0;3;0;0.6;0.583;0;;;
Jameer Nelson;DET;PG;35;6-0;190;USA;43;20.9;5.1;3.6;2.2;0.53;0.765;0.463;0.364;;;
Jamel Artis;ORL;SG;25;6-7;213;USA;15;18.6;5.1;1.2;2.5;0.13;0.583;0.46;0.276;;;
James Ennis III;DET;SF;27;6-7;210;USA;45;23.4;6.9;1.1;3.5;0.71;0.877;0.565;0.357;;;
James Harden;HOU;PG;28;6-5;220;USA;72;35.4;30.4;8.8;5.4;1.76;0.858;0.531;0.367;;;
James Johnson;MIA;PF;30;6-8;240;USA;73;26.6;10.8;3.8;4.9;0.96;0.698;0.587;0.308;;;
James Michael McAdoo;PHI;PF;25;6-9;230;USA;3;6;2.7;0;0.7;0;1;0;0.286;;;
James Webb III;BKN;SF;24;6-9;202;USA;10;12;1.6;0.4;2.4;0.1;0;0.4;0.211;;;
James Young;PHI;SG;22;6-6;215;USA;6;10.2;2.8;0.3;0.3;0;0.667;0.5;0.3;;;
